Cycle,Minute,A,B,C,D,E
1,15,100,90.0,99.0,99.9,111.1
2,30,100,81.0,97.2,99.63,122.17
3,45,100,72.9,94.77,99.14,133.19
4,60,100,65.61,91.85,98.41,144.12
5,75,100,59.05,88.57,97.43,154.95
6,90,100,53.14,85.03,96.19,165.63
7,105,100,47.83,81.31,94.7,176.16
8,120,100,43.05,77.48,92.98,186.49
9,135,100,38.74,73.61,91.04,196.6
10,150,100,34.87,69.74,88.91,206.48
11,165,100,31.38,65.9,86.61,216.11
12,180,100,28.24,62.13,84.16,225.46
13,195,100,25.42,58.46,81.59,234.52
14,210,100,22.88,54.9,78.92,243.29
15,225,100,20.59,51.47,76.18,251.76
16,240,100,18.53,48.18,73.38,259.91
17,255,100,16.68,45.03,70.54,267.75
18,270,100,15.01,42.03,67.69,275.27
19,285,100,13.51,39.17,64.84,282.48
20,300,100,12.16,36.47,62.0,289.37
21,315,100,10.94,33.92,59.2,295.94
22,330,100,9.85,31.51,56.43,302.21
23,345,100,8.86,29.25,53.71,308.18
24,360,100,7.98,27.12,51.05,313.85
25,375,100,7.18,25.13,48.46,319.24
26,390,100,6.46,23.26,45.94,324.34
27,405,100,5.81,21.52,43.5,329.17
28,420,100,5.23,19.89,41.14,333.74
29,435,100,4.71,18.37,38.86,338.06
30,450,100,4.24,16.96,36.67,342.14
31,465,100,3.82,15.64,34.57,345.98
32,480,100,3.43,14.42,32.55,349.59
33,495,100,3.09,13.29,30.63,353.0
34,510,100,2.78,12.24,28.79,356.19
35,525,100,2.5,11.26,27.03,359.2
36,540,100,2.25,10.36,25.37,362.02
37,555,100,2.03,9.53,23.78,364.66
38,570,100,1.82,8.76,22.28,367.14
39,585,100,1.64,8.05,20.86,369.45
40,600,100,1.48,7.39,19.51,371.62
41,615,100,1.33,6.78,18.24,373.65
42,630,100,1.2,6.23,17.04,375.54
43,645,100,1.08,5.71,15.9,377.31
44,660,100,0.97,5.24,14.84,378.96
45,675,100,0.87,4.8,13.83,380.49
46,690,100,0.79,4.4,12.89,381.93
47,705,100,0.71,4.03,12.0,383.26
48,720,100,0.64,3.69,11.17,384.5
49,735,100,0.57,3.38,10.39,385.66
50,750,100,0.52,3.09,9.66,386.73
51,765,100,0.46,2.83,8.98,387.73
52,780,100,0.42,2.59,8.34,388.65
53,795,100,0.38,2.37,7.74,389.51
54,810,100,0.34,2.16,7.19,390.31
55,825,100,0.3,1.98,6.66,391.05
56,840,100,0.27,1.81,6.18,391.74
57,855,100,0.25,1.65,5.73,392.38
58,870,100,0.22,1.51,5.3,392.97
59,885,100,0.2,1.38,4.91,393.51
60,900,100,0.18,1.26,4.55,394.02
61,915,100,0.16,1.15,4.21,394.48
62,930,100,0.15,1.05,3.89,394.92
63,945,100,0.13,0.96,3.6,395.32
64,960,100,0.12,0.87,3.32,395.68
65,975,100,0.11,0.8,3.07,396.03
66,990,100,0.1,0.73,2.84,396.34
67,1005,100,0.09,0.66,2.62,396.63
68,1020,100,0.08,0.6,2.42,396.9
69,1035,100,0.07,0.55,2.23,397.15
70,1050,100,0.06,0.5,2.06,397.38
71,1065,100,0.06,0.46,1.9,397.59
72,1080,100,0.05,0.42,1.75,397.78
73,1095,100,0.05,0.38,1.61,397.96
74,1110,100,0.04,0.35,1.49,398.13
75,1125,100,0.04,0.31,1.37,398.28
76,1140,100,0.03,0.29,1.26,398.42
77,1155,100,0.03,0.26,1.16,398.55
78,1170,100,0.03,0.24,1.07,398.67
79,1185,100,0.02,0.22,0.98,398.78
80,1200,100,0.02,0.2,0.9,398.88
81,1215,100,0.02,0.18,0.83,398.97
82,1230,100,0.02,0.16,0.77,399.05
83,1245,100,0.02,0.15,0.7,399.13
84,1260,100,0.01,0.13,0.65,399.2
85,1275,100,0.01,0.12,0.59,399.27
86,1290,100,0.01,0.11,0.55,399.33
87,1305,100,0.01,0.1,0.5,399.39
88,1320,100,0.01,0.09,0.46,399.44
89,1335,100,0.01,0.08,0.42,399.48
90,1350,100,0.01,0.08,0.39,399.53
91,1365,100,0.01,0.07,0.36,399.57
92,1380,100,0.01,0.06,0.33,399.6
93,1395,100,0.01,0.06,0.3,399.64
94,1410,100,0.0,0.05,0.28,399.67
95,1425,100,0.0,0.05,0.25,399.7
96,1440,100,0.0,0.04,0.23,399.72
Final,1440,499.95,0.0,0.04,0,0
